127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/js/share.js, HTTP/1.1, 304, 0.001168
127.0.0.1, 2018-07-05 12:38:51, GET, /Fitters/static/images/favicon.png, HTTP/1.1, 304, 0.000407
127.0.0.1, 2018-07-05 12:38:51, GET, /Fitters/static/images/facebook.png, HTTP/1.1, 304, 0.000481
127.0.0.1, 2018-07-05 12:38:51, GET, /Fitters/static/images/twitter.png, HTTP/1.1, 200, 0.001142
127.0.0.1, 2018-07-05 12:38:51, GET, /Fitters/static/images/gplus-32.png, HTTP/1.1, 304, 0.000384
127.0.0.1, 2018-07-05 12:38:52, GET, /Fitters/default/business, HTTP/1.1, 200, 0.034438
127.0.0.1, 2018-07-05 12:38:54, GET, /Fitters/default/accessories, HTTP/1.1, 200, 0.029763
127.0.0.1, 2018-07-05 12:38:55, GET, /Fitters/default/unstitched, HTTP/1.1, 200, 0.043170
127.0.0.1, 2018-07-05 12:38:56, GET, /Fitters/default/mini, HTTP/1.1, 200, 0.037816
127.0.0.1, 2018-07-05 12:38:57, GET, /Fitters/default/women, HTTP/1.1, 200, 0.062575
127.0.0.1, 2018-07-05 12:38:57, GET, /Fitters/default/men, HTTP/1.1, 200, 0.082177
127.0.0.1, 2018-07-05 13:12:00, GET, /Fitters/default/men, HTTP/1.1, 200, 0.047205
127.0.0.1, 2018-07-05 13:12:02, GET, /Fitters/default/women, HTTP/1.1, 200, 0.030139
127.0.0.1, 2018-07-05 13:12:04, GET, /Fitters/default/mini, HTTP/1.1, 200, 0.126271
127.0.0.1, 2018-07-05 13:12:06, GET, /Fitters/default/unstitched, HTTP/1.1, 200, 0.059100
127.0.0.1, 2018-07-05 13:12:08, GET, /Fitters/default/accessories, HTTP/1.1, 200, 0.053752
127.0.0.1, 2018-07-05 13:12:10, GET, /Fitters/default/business, HTTP/1.1, 200, 0.057797
127.0.0.1, 2018-07-05 13:12:13, GET, /Fitters/default/overseas, HTTP/1.1, 200, 0.036650
127.0.0.1, 2018-07-05 13:12:15, GET, /Fitters/default/prices, HTTP/1.1, 200, 0.049398
127.0.0.1, 2018-07-05 13:12:17, GET, /Fitters/default/quickorder, HTTP/1.1, 200, 0.055625
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/default/quickorder, HTTP/1.1, 200, 0.034975
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000629
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001562
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001769
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/js/web2py.js, HTTP/1.1, 304, 0.003135
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/css/calendar.css, HTTP/1.1, 304, 0.001472
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/js/jquery.js, HTTP/1.1, 304, 0.001882
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000711
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/js/share.js, HTTP/1.1, 304, 0.000977
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/js/calendar.js, HTTP/1.1, 304, 0.002630
127.0.0.1, 2018-07-05 13:16:17, GET, /Fitters/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003036
127.0.0.1, 2018-07-05 13:16:18, GET, /Fitters/static/images/favicon.png, HTTP/1.1, 304, 0.000451
127.0.0.1, 2018-07-05 13:16:18, GET, /Fitters/static/images/twitter.png, HTTP/1.1, 304, 0.000592
127.0.0.1, 2018-07-05 13:16:18, GET, /Fitters/static/images/facebook.png, HTTP/1.1, 200, 0.000899
127.0.0.1, 2018-07-05 13:16:18, GET, /Fitters/static/images/gplus-32.png, HTTP/1.1, 200, 0.000819
127.0.0.1, 2018-07-05 13:16:21, GET, /Fitters/default/index, HTTP/1.1, 200, 0.018977
127.0.0.1, 2018-07-05 13:16:21, GET, /Fitters/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000745
127.0.0.1, 2018-07-05 13:16:23, GET, /Fitters/default/men, HTTP/1.1, 200, 0.032024
127.0.0.1, 2018-07-05 13:16:24, GET, /Fitters/default/women, HTTP/1.1, 200, 0.028653
127.0.0.1, 2018-07-05 13:16:25, GET, /Fitters/default/mini, HTTP/1.1, 200, 0.043990
127.0.0.1, 2018-07-05 13:16:25, GET, /Fitters/default/unstitched, HTTP/1.1, 200, 0.065182
127.0.0.1, 2018-07-05 13:16:26, GET, /Fitters/default/accessories, HTTP/1.1, 200, 0.068994
127.0.0.1, 2018-07-05 13:16:27, GET, /Fitters/default/business, HTTP/1.1, 200, 0.039266
127.0.0.1, 2018-07-05 13:16:27, GET, /Fitters/default/overseas, HTTP/1.1, 200, 0.061104
127.0.0.1, 2018-07-05 13:16:28, GET, /Fitters/default/prices, HTTP/1.1, 200, 0.151314
127.0.0.1, 2018-07-05 13:16:29, GET, /Fitters/default/quickorder, HTTP/1.1, 200, 0.059049
127.0.0.1, 2018-07-05 13:16:30, GET, /Fitters/default/index, HTTP/1.1, 200, 0.029158
127.0.0.1, 2018-07-05 13:23:59, GET, /Fitters/default/men, HTTP/1.1, 200, 0.058885
127.0.0.1, 2018-07-05 13:24:01, GET, /Fitters/default/business, HTTP/1.1, 200, 0.065527
127.0.0.1, 2018-07-05 13:24:02, GET, /Fitters/default/index, HTTP/1.1, 200, 0.021921
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/default/index, HTTP/1.1, 200, 0.029168
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001613
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001574
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003138
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002602
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/js/web2py.js, HTTP/1.1, 304, 0.001635
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/js/jquery.js, HTTP/1.1, 304, 0.003505
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/js/calendar.js, HTTP/1.1, 304, 0.000820
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/css/calendar.css, HTTP/1.1, 304, 0.005904
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001640
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/js/share.js, HTTP/1.1, 304, 0.001428
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/images/favicon.png, HTTP/1.1, 304, 0.000875
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/images/background.jpg, HTTP/1.1, 304, 0.000702
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/images/twitter.png, HTTP/1.1, 304, 0.001231
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/images/gplus-32.png, HTTP/1.1, 200, 0.000895
127.0.0.1, 2018-07-05 13:24:27, GET, /Fitters/static/images/facebook.png, HTTP/1.1, 200, 0.001082
127.0.0.1, 2018-07-05 13:24:40, GET, /Fitters/default/index, HTTP/1.1, 200, 0.014475
127.0.0.1, 2018-07-05 13:24:43, GET, /Fitters/default/men, HTTP/1.1, 200, 0.065419
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/default/men, HTTP/1.1, 200, 0.041577
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001307
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002876
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/js/jquery.js, HTTP/1.1, 304, 0.002469
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001886
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/css/calendar.css, HTTP/1.1, 304, 0.000752
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/js/web2py.js, HTTP/1.1, 304, 0.004154
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/js/calendar.js, HTTP/1.1, 304, 0.003912
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/js/share.js, HTTP/1.1, 304, 0.001881
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003256
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003430
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/images/favicon.png, HTTP/1.1, 304, 0.000828
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/images/facebook.png, HTTP/1.1, 304, 0.000429
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/images/gplus-32.png, HTTP/1.1, 304, 0.000975
127.0.0.1, 2018-07-05 13:26:09, GET, /Fitters/static/images/twitter.png, HTTP/1.1, 304, 0.001490
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/default/men, HTTP/1.1, 200, 0.090656
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000656
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002603
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.005019
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/js/jquery.js, HTTP/1.1, 304, 0.002076
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/js/web2py.js, HTTP/1.1, 304, 0.000433
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000436
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/css/calendar.css, HTTP/1.1, 304, 0.001487
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/js/calendar.js, HTTP/1.1, 304, 0.001321
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003604
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/js/share.js, HTTP/1.1, 304, 0.001181
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/images/favicon.png, HTTP/1.1, 304, 0.000456
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/images/twitter.png, HTTP/1.1, 304, 0.001502
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/images/gplus-32.png, HTTP/1.1, 304, 0.000869
127.0.0.1, 2018-07-05 20:47:51, GET, /Fitters/static/images/facebook.png, HTTP/1.1, 304, 0.000590
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/default/design/Fitters, HTTP/1.1, 303, 0.005084
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/default/index, HTTP/1.1, 200, 0.020482
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/static/_2.15.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002055
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/static/_2.15.2/js/jquery.js, HTTP/1.1, 200, 0.002827
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/static/_2.15.2/js/calendar.js, HTTP/1.1, 200, 0.002336
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/static/_2.15.2/js/web2py.js, HTTP/1.1, 200, 0.001682
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/static/_2.15.2/css/calendar.css, HTTP/1.1, 200, 0.002928
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/static/_2.15.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003860
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/static/_2.15.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.007171
127.0.0.1, 2018-07-05 20:47:53, GET, /admin/static/_2.15.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004584
